YEAR,MVP,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1990,0,Xavier McDaniel,81,32.5,17,7.3,14.6,49.7,0,0.1,0,2.4,3.3,72.3,2.1,4.7,6.9,2.3,0.9,0.6,2.3,17.1
1990,0,Johnny Newman,81,30.6,16.9,5.9,12.6,47,0.4,1,35.7,4.8,5.9,80.9,1.2,2,3.1,2.3,1.2,0.2,2.3,13.7
1990,0,Jeff Hornacek,80,34.2,16.9,6.8,13.1,51.8,0.8,1.8,41.8,2.5,2.8,89.7,0.9,3.1,4,5.1,1.4,0.2,1.6,19.3
1990,0,Eddie Johnson,81,25.7,16.7,6.7,13.9,48.4,0.5,1.5,32.5,2.8,3.2,89.1,1.3,2,3.3,1.4,0.7,0.1,1.5,13.3
1990,0,Armen Gilliam,75,35.3,16.6,6.5,13.3,48.7,0,0,0,3.6,4.4,81.5,2.9,5,8,1.4,0.9,0.7,2.3,17.6
1988,0,Michael Jordan,81,40.2,32.5,11.9,22.2,53.8,0.3,1.2,27.6,8.3,9.8,85,1.8,6.2,8,8,2.9,0.8,3.6,37
1988,0,Karl Malone,80,39.1,29.1,10.1,19.5,51.9,0.1,0.2,31.3,8.8,11.5,76.6,3.2,7.4,10.7,2.7,1.8,0.9,3.6,29.5
1988,0,Dale Ellis,82,38.9,27.5,10.5,20.9,50.1,2,4.1,47.8,4.6,5.6,81.6,1.9,2.3,4.2,2,1.3,0.3,2.7,21.1
1988,0,Clyde Drexler,78,39.3,27.2,10.6,21.4,49.6,0.3,1.3,26,5.6,7,79.9,3.7,4.2,7.9,5.8,2.7,0.7,3.2,28.9
1988,0,Chris Mullin,82,37.7,26.5,10.1,19.9,50.9,0.3,1.2,23,6,6.7,89.2,1.9,4,5.9,5.1,2.1,0.5,3.6,26
1988,0,Alex English,82,36.5,26.5,11.3,22.9,49.1,0,0.1,25,4,4.6,85.8,1.8,2.2,4,4.7,0.8,0.1,2.4,21.4
1988,0,Dominique Wilkins,80,37.5,26.2,10.2,22,46.4,0.4,1.3,27.6,5.5,6.6,84.4,3.2,3.7,6.9,2.6,1.5,0.7,2.3,22.8
1988,0,Charles Barkley,79,39.1,25.8,8.9,15.3,57.9,0.4,2.1,21.6,7.6,10.1,75.3,5.1,7.4,12.5,4.1,1.6,0.8,3.2,32.7
1988,0,Tom Chambers,81,37.1,25.7,9.6,20.3,47.1,0.3,1.1,32.6,6.3,7.4,85.1,1.8,6.7,8.4,2.9,1.1,0.7,2.9,24.1
1988,0,Hakeem Olajuwon,82,36.9,24.8,9.6,19,50.8,0,0.1,0,5.5,8,69.6,4.1,9.4,13.5,1.8,2.6,3.4,3.4,31
1988,0,Terry Cummings,80,35.3,22.9,9.1,19.5,46.7,0.1,0.2,46.7,4.5,5.8,78.7,3.5,4.6,8.1,2.5,1.3,0.9,2.5,21.5
1988,0,Patrick Ewing,80,36.2,22.7,9.1,16,56.7,0,0.1,0,4.5,6.1,74.6,2.7,6.6,9.3,2.4,1.5,3.5,3.3,27.5
1988,0,Kelly Tripucka,71,32.4,22.6,8,17.1,46.7,0.4,1.2,35.7,6.2,7.2,86.6,1.1,2.6,3.8,3.2,1.2,0.2,3.3,17.6
1988,0,Kevin McHale,78,36.9,22.5,8.5,15.5,54.6,0,0.1,0,5.6,6.8,81.8,2.9,5.3,8.2,2.2,0.3,1.2,2.5,23.7
1988,1,Magic Johnson,77,37.5,22.5,7.5,14.8,50.9,0.8,2.4,31.4,6.7,7.3,91.1,1.4,6.4,7.9,12.8,1.8,0.3,4.1,33.3
1988,0,Mitch Richmond,79,34.4,22,8.2,17.5,46.8,0.4,1.1,36.7,5.2,6.4,81,2,3.9,5.9,4.2,1,0.2,3.4,19.4
1988,0,Jeff Malone,76,31.8,21.7,8.9,18.6,48,0,0.3,5.3,3.9,4.5,87.1,0.7,1.6,2.4,2.9,0.5,0.2,2.2,15.3
1988,0,Chuck Person,80,37.7,21.6,8.9,18.2,48.9,0.8,2.6,30.7,3,3.8,79.2,1.8,4.7,6.5,3.6,1,0.2,3.9,19
1988,0,Eddie Johnson,70,29.2,21.5,8.7,17.5,49.7,1,2.5,41.3,3.1,3.6,86.8,1.3,3.1,4.4,2.3,0.7,0.1,1.7,17.9
1988,0,Bernard King,81,31.6,20.7,8.1,16.9,47.7,0.1,0.4,16.7,4.5,5.4,81.9,1.6,3.1,4.7,3.6,0.8,0.2,2.8,17.3
1988,0,James Worthy,81,36.5,20.5,8.7,15.8,54.8,0,0.3,8.7,3.1,4,78.2,2.1,4,6,3.6,1.3,0.7,2.2,21.8
1988,0,Xavier McDaniel,82,29.1,20.5,8.3,16.9,48.9,0.1,0.4,30.6,3.8,5.2,73.2,2.2,3.1,5.3,1.6,1,0.5,2.6,16.3
1988,0,Kevin Johnson,81,39.2,20.4,7,13.9,50.5,0,0.3,9.1,6.3,7.1,88.2,0.6,3.6,4.2,12.2,1.7,0.3,4,27.1
1988,0,Moses Malone,81,35.5,20.2,6.6,13.5,49.1,0,0.1,0,6.9,8.8,78.9,4.8,7,11.8,1.4,1,1.2,3,23.8
1988,0,Lafayette Lever,71,38.7,19.8,7.9,17.2,45.7,0.3,0.9,34.8,3.8,4.8,78.5,2.6,6.7,9.3,7.9,2.7,0.3,2.2,27.5
1988,0,Rolando Blackman,78,37.8,19.7,7.6,16,47.6,0.4,1.1,35.3,4.1,4.7,85.4,0.9,2.6,3.5,3.7,0.8,0.3,2.1,16.7
1988,0,Byron Scott,74,35.2,19.6,7.9,16.2,49.1,1,2.6,39.9,2.6,3.1,86.3,1,3.1,4.1,3.1,1.5,0.4,2.1,17.9
1988,0,Thurl Bailey,82,33.9,19.5,7.5,15.5,48.3,0,0.1,40,4.4,5.4,82.5,1.4,4,5.5,1.7,0.6,1.1,2.5,16.8
1988,0,Adrian Dantley,73,33.2,19.2,6.4,13.1,49.3,0,0,0,6.3,7.8,81,1.6,2.7,4.3,2.3,0.6,0.2,2.2,16.3
1988,0,Brad Daugherty,78,36.2,18.9,7,13,53.8,0,0,33.3,4.9,6.7,73.7,2.1,7.1,9.2,3.7,0.8,0.5,2.9,22.4
1988,0,Mark Aguirre,80,32.5,18.9,7.3,15.9,46.1,0.6,2.2,29.3,3.6,4.9,73.3,1.8,3,4.8,3.5,0.6,0.5,2.6,15.7
1988,0,Mark Price,75,36.4,18.9,7.1,13.4,52.6,1.2,2.8,44.1,3.5,3.9,90.1,0.6,2.4,3,8.4,1.5,0.1,2.8,22.3
1988,0,Willie Anderson,81,33.8,18.6,7.9,15.9,49.8,0,0.3,19,2.8,3.6,77.5,1.9,3.3,5.1,4.6,1.9,0.8,3.2,19
1988,0,Ron Harper,82,34.8,18.6,7.2,14,51.1,0.4,1.4,25,3.9,5.2,75.1,1.5,3.5,5,5.3,2.3,0.9,2.8,21.1
1988,0,Robert Parish,80,35.5,18.6,7.5,13.1,57,0,0,0,3.7,5.1,71.9,4.3,8.2,12.5,2.2,1,1.5,2.5,26.1
1988,0,Michael Adams,77,36.2,18.5,6.1,14.1,43.3,2.2,6.1,35.6,4.2,5.1,81.9,0.9,2.8,3.7,6.4,2.2,0.1,2.3,19.6
1988,0,Reggie Lewis,81,32.8,18.5,7.5,15.3,48.6,0,0.3,13.6,3.5,4.5,78.7,1.4,3.2,4.7,2.7,1.5,0.9,1.8,17.6
1988,0,Isiah Thomas,80,36.6,18.2,7.1,15.3,46.4,0.4,1.5,27.3,3.6,4.4,81.8,0.6,2.8,3.4,8.3,1.7,0.3,3.7,19.1
1988,0,Kevin Duckworth,79,33.7,18.1,7,14.7,47.7,0,0,0,4.1,5.4,75.7,3.1,4.9,8,0.8,0.7,0.6,2.5,16.7
1988,0,Ken Norman,80,37.8,18.1,8,15.9,50.2,0.1,0.3,19,2.1,3.4,63,3.1,5.3,8.3,3.5,1.3,0.8,2.6,20.3
1988,0,Terry Porter,81,38.3,17.7,6.7,14.1,47.1,1,2.7,36.1,3.4,4,84,1,3.5,4.5,9.5,1.8,0.1,3.1,22.4
1988,0,Ricky Pierce,75,27.7,17.6,7,13.6,51.8,0.1,0.5,22.2,3.4,4,85.9,1.1,1.5,2.6,2.1,1,0.3,1.5,14.9
1988,0,Danny Ainge,73,32.6,17.5,6.6,14.4,45.7,1.6,4.2,38,2.8,3.3,85.4,1,2.5,3.5,5.5,1.3,0.1,2,17.6
1988,0,Jerome Kersey,76,35.7,17.5,7,15,46.9,0.1,0.3,28.6,3.4,4.9,69.4,3.2,5,8.3,3.2,1.8,1.1,2.2,20.2
1988,0,Wayman Tisdale,79,30.8,17.5,6.7,13.1,51.4,0,0.1,0,4,5.2,77.3,2.4,5.3,7.7,1.6,0.7,0.7,2.2,18.4
1988,0,Derek Harper,81,36.6,17.3,6.6,13.9,47.7,1.2,3.4,35.6,2.8,3.5,80.6,0.6,2.2,2.8,7,2.1,0.5,2.5,19.3
1988,0,Kenny Smith,81,38.8,17.3,6.8,14.6,46.2,0.6,1.6,35.9,3.2,4.4,73.7,0.6,2.2,2.8,7.7,1.3,0.1,3.1,17
1988,0,Larry Nance,73,34.6,17.2,6.8,12.6,53.9,0,0.1,0,3.7,4.6,79.9,2.1,5.8,8,2.2,0.8,2.8,1.6,22.7
1988,0,Mike Gminski,82,33.4,17.2,6.8,14.2,47.7,0,0.1,0,3.6,4.2,87.1,2.6,6.8,9.4,1.7,0.6,1.3,1.6,20.5
1988,0,John Stockton,82,38.7,17.1,6.1,11.3,53.8,0.2,0.8,24.2,4.8,5.5,86.3,1,2,3,13.6,3.2,0.2,3.8,27.4
1987,1,Michael Jordan,82,40.4,35,13,24.4,53.5,0.1,0.6,13.2,8.8,10.5,84.1,1.7,3.8,5.5,5.9,3.2,1.6,3.1,35
1987,0,Dominique Wilkins,78,37.8,30.7,11.7,25.1,46.4,0.5,1.7,29.5,6.9,8.4,82.6,2.7,3.7,6.4,2.9,1.3,0.6,2.8,24.3
1987,0,Larry Bird,76,39,29.9,11.6,22,52.7,1.3,3.1,41.4,5.5,6,91.6,1.4,7.8,9.3,6.1,1.6,0.8,2.8,34
1987,0,Charles Barkley,80,39.6,28.3,9.4,16,58.7,0.6,2,28,8.9,11.9,75.1,4.8,7.1,11.9,3.2,1.3,1.3,3.8,32.5
1987,0,Karl Malone,82,39,27.7,10.5,20.1,52,0,0.1,0,6.7,9.6,70,3.4,8.6,12,2.4,1.4,0.6,4,27.6
1987,0,Clyde Drexler,81,37.8,27,10.5,20.7,50.6,0.1,0.6,21.2,5.9,7.2,81.1,3.2,3.4,6.6,5.8,2.5,0.6,2.9,27.9
1987,0,Dale Ellis,75,37.2,25.8,10.2,20.3,50.3,1.4,3.5,41.3,4,5.3,76.7,2.2,2.3,4.5,2.6,1,0.1,2.3,20.5
1987,0,Mark Aguirre,77,33.9,25.1,9.7,20.4,47.5,0.7,2.2,30.2,5,6.5,77,2.4,3.3,5.6,3.6,0.9,0.7,2.6,21.1
1987,0,Alex English,80,35.2,25,10.5,21.3,49.5,0,0.1,0,3.9,4.7,82.8,2.1,2.6,4.7,4.7,0.9,0.3,2.3,21.7
1987,0,Hakeem Olajuwon,79,35.8,22.8,9,17.5,51.4,0,0.1,0,4.8,6.9,69.5,3.8,8.3,12.1,2.1,2.1,2.7,3.1,28.1
1987,0,Kevin McHale,64,37.3,22.6,8.6,14.2,60.4,0,0,0,5.4,6.8,79.7,2.5,5.9,8.4,2.7,0.4,1.4,2.2,26.3
1987,0,Byron Scott,81,37.6,21.7,8.8,16.6,52.7,0.8,2.2,34.6,3.4,3.9,85.8,0.9,3.2,4.1,4.1,1.9,0.3,2,21.7
1987,0,Reggie Theus,73,36.3,21.6,8.5,18.1,47,0.2,0.8,27.1,4.4,5.3,83.1,1,2.2,3.2,6.3,0.8,0.2,3.2,18.4
1987,0,Xavier McDaniel,78,34.7,21.4,8.8,18,48.8,0.2,0.6,28,3.6,5,71.5,2.6,4,6.6,3.4,1.2,0.7,2.9,19.8
1987,0,Terry Cummings,76,34.6,21.3,8.9,18.3,48.5,0,0,33.3,3.6,5.3,66.5,2.4,4.9,7.3,2.4,1,0.6,2.2,19.2
1987,0,Otis Thorpe,82,37.5,20.8,7.6,15,50.7,0,0.1,0,5.6,7.4,75.5,3.4,6.8,10.2,3.2,0.8,0.7,2.8,23.7
1987,0,Jeff Malone,80,33.2,20.5,8.1,17,47.6,0.1,0.3,41.7,4.2,4.8,88.2,0.6,2,2.6,3,0.6,0.2,2.2,15.2
1987,0,Tom Chambers,82,32.7,20.4,7.5,16.6,44.8,0.4,1.3,30.3,5.1,6.3,80.7,1.6,4.3,6,2.6,1.1,0.6,2.5,17.7
1987,0,Moses Malone,79,34.1,20.3,6.7,13.8,48.7,0,0.1,28.6,6.9,8.7,78.8,4.7,6.5,11.2,1.4,0.7,0.9,3.2,22.5
1987,0,Patrick Ewing,82,31,20.2,8,14.4,55.5,0,0,0,4.2,5.8,71.6,3,5.3,8.2,1.5,1.3,3,3.5,22.6
1987,0,James Worthy,75,35.4,19.7,8.2,15.5,53.1,0,0.2,12.5,3.2,4.1,79.6,1.7,3.3,5,3.9,1,0.7,2.1,20.1
1987,0,Alvin Robertson,82,36.3,19.6,8,17.2,46.5,0.3,1.2,28.4,3.3,4.5,74.8,2,4.1,6.1,6.8,3,0.8,3.1,22.9
1987,0,Thurl Bailey,82,34.2,19.6,7.7,15.7,49.2,0,0,33.3,4.1,5,82.6,1.6,4.8,6.5,1.9,0.6,1.5,2.3,18.9
1987,0,Magic Johnson,72,36.6,19.6,6.8,13.8,49.2,0.2,0.8,19.6,5.8,6.8,85.3,1.2,5,6.2,11.9,1.6,0.2,3.7,27.7
1987,0,Isiah Thomas,81,36.1,19.5,7.7,16.6,46.3,0.4,1.2,30.9,3.8,4.9,77.4,0.8,2.6,3.4,8.4,1.7,0.2,3.4,19.9
1987,0,Jerome Kersey,79,36.6,19.2,7.7,15.5,49.9,0,0.2,20,3.7,5,73.5,2.7,5.6,8.3,3.1,1.6,0.8,2,21.9
1987,0,Lafayette Lever,82,37.3,18.9,7.8,16.6,47.3,0.1,0.7,21.1,3,3.9,78.5,2.5,5.6,8.1,7.8,2.7,0.3,2.2,25.9
1987,0,Brad Daugherty,79,37.4,18.7,7,13.7,51,0,0,0,4.8,6.7,71.6,1.9,6.5,8.4,4.2,0.6,0.7,3.4,20.7
1987,0,Rolando Blackman,71,36.3,18.7,7,14.8,47.3,0,0.1,0,4.7,5.3,87.3,1.2,2.3,3.5,3.7,0.9,0.3,2,16.5
1987,0,Buck Williams,70,37.7,18.3,6.7,11.9,56,0,0,100,4.9,7.4,66.8,4.3,7.7,11.9,1.6,1,0.6,2.7,23
1987,0,Mike Woodson,80,31.7,18,7,15.8,44.5,0.2,1,23.1,3.7,4.3,86.8,0.8,1.6,2.4,3.4,1.4,0.3,2.3,13.8
